file name,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color,word,color
./stroop_ds/figs/color_nbyn_1712627630.png,black,pink,yellow,white,pink,yellow,brown,pink,white,pink,yellow,blue,orange,black,orange,brown,green,yellow,white,black,green,blue,gray,purple,black,yellow,brown,blue,pink,purple,black,black,gray,black,yellow,purple,blue,gray,blue,gray,pink,white,pink,pink,brown,black,white,gray,green,green
./stroop_ds/figs/color_nbyn_1712627630.png,white,yellow,white,white,black,red,gray,brown,gray,red,yellow,white,purple,yellow,green,red,green,blue,pink,blue,yellow,gray,blue,green,pink,green,brown,pink,red,red,white,red,blue,purple,green,brown,white,pink,black,red,pink,brown,green,green,pink,gray,pink,yellow,purple,green
./stroop_ds/figs/color_nbyn_1712627631.png,black,black,green,gray,orange,gray,gray,white,orange,red,blue,orange,pink,brown,orange,green,gray,yellow,brown,gray,green,gray,red,orange,green,pink,brown,purple,white,blue,gray,black,pink,purple,blue,purple,purple,pink,yellow,gray,yellow,green,purple,orange,brown,black,gray,green,black,yellow
./stroop_ds/figs/color_nbyn_1712627631.png,brown,blue,white,pink,green,black,yellow,green,orange,purple,pink,pink,black,yellow,pink,brown,blue,orange,brown,yellow,brown,gray,purple,orange,blue,white,brown,brown,orange,white,yellow,pink,green,blue,yellow,blue,purple,white,blue,green,black,blue,black,blue,yellow,brown,gray,gray,red,gray
./stroop_ds/figs/color_nbyn_1712627632.png,gray,orange,orange,white,orange,yellow,yellow,orange,orange,yellow,blue,brown,black,red,orange,gray,brown,red,purple,red,black,green,pink,yellow,blue,white,orange,blue,white,gray,gray,brown,brown,blue,purple,blue,pink,green,black,green,black,gray,green,orange,white,black,green,white,gray,yellow
./stroop_ds/figs/color_nbyn_1712627632.png,brown,white,black,pink,yellow,yellow,white,purple,purple,white,pink,gray,blue,green,black,green,yellow,brown,black,orange,gray,yellow,red,black,blue,purple,brown,green,yellow,gray,green,green,green,green,purple,pink,white,yellow,white,green,red,gray,white,orange,blue,brown,yellow,blue,black,pink
./stroop_ds/figs/color_nbyn_1712627633.png,pink,gray,pink,brown,blue,black,purple,yellow,black,blue,black,white,purple,red,white,white,purple,white,white,green,brown,pink,yellow,gray,red,purple,green,pink,gray,pink,pink,purple,gray,red,green,brown,red,blue,purple,black,yellow,purple,brown,yellow,black,purple,yellow,gray,gray,gray
./stroop_ds/figs/color_nbyn_1712627633.png,orange,purple,purple,red,purple,blue,white,red,black,white,green,green,black,white,red,white,blue,yellow,brown,gray,red,red,yellow,brown,purple,red,orange,blue,brown,white,green,pink,black,purple,pink,purple,gray,white,blue,white,yellow,green,purple,yellow,white,purple,black,pink,brown,green
./stroop_ds/figs/color_nbyn_1712627634.png,pink,purple,blue,black,red,orange,purple,yellow,pink,blue,black,gray,white,pink,green,purple,yellow,pink,green,orange,brown,red,brown,purple,green,pink,purple,gray,black,white,orange,green,yellow,white,purple,yellow,pink,blue,gray,blue,gray,blue,red,yellow,yellow,black,gray,brown,green,gray
./stroop_ds/figs/color_nbyn_1712627634.png,orange,white,pink,green,white,yellow,yellow,green,purple,gray,gray,red,orange,green,green,green,green,gray,red,red,green,pink,pink,brown,green,purple,orange,purple,orange,yellow,pink,blue,purple,white,yellow,black,orange,blue,green,black,green,white,purple,gray,green,white,gray,red,brown,white
./stroop_ds/figs/color_nbyn_1712627635.png,orange,red,white,blue,pink,yellow,yellow,green,brown,green,gray,purple,white,purple,pink,white,purple,green,pink,white,black,white,yellow,white,green,pink,yellow,white,pink,gray,white,white,green,brown,brown,purple,black,purple,black,yellow,green,yellow,green,gray,white,pink,gray,white,red,red
